longitude,latitude,septic_id,septic_capacity,steel_id,steel_capacity,houses
36.3172711752,32.3028646704,D1-B5-T4,4,,,"D1-B5-H69,D1-B5-H71,D1-B5-H72,D1-B5-H74"
36.317176341,32.3025887868,D1-B5-T5,4,,,D1-B5-H98
36.3170924224,32.302369191,D1-B5-T6,4,,,"D1-B5-H96,D1-B5-H97,D1-B5-H99,D1-B5-H100"
36.3176844414,32.3028992944,D1-B5-T7,4,,,"D1-B4-H46,D1-B4-H47,D1-B4-H48,D1-B4-H50,D1-B5-H63,D1-B5-H66,D1-B5-H67,D1-B5-H68"
36.3176420466,32.302624885,D1-B5-T8,4,,,"D1-B5-H59,D1-B5-H64,D1-B5-H65,D1-B5-H104"
36.3173999829,32.3022880152,D1-B5-T9,4,,,"D1-B5-H101,D1-B5-H105,D1-B5-H106,D1-B5-H107,D1-B5-H108,D1-B5-H110,D1-B6-H67,D1-B6-H70,D1-B6-H71,D1-B6-H75,D1-B6-H76"
36.3180093101,32.3028331379,D1-B5-T10,8,,,"D1-B4-H33,D1-B4-H51,D1-B4-H52,D1-B4-H53,D1-B4-H54,D1-B4-H55,D1-B4-H56"
36.3180582875,32.3028244245,D1-B5-T11,4,,,"D1-B5-H53,D1-B5-H54,D1-B5-H55,D1-B5-H56,D1-B5-H57,D1-B5-H58,D1-B5-H59,D1-B5-H60,D1-B5-H61"
36.3179799075,32.3024991853,D1-B5-T12,4,,,"D1-B5-H109,D1-B5-H116,D1-B5-H117,D1-B5-H118,D1-B5-H119,D1-B5-H120,D1-B5-H125,D1-B5-H126,D1-B5-H127"
36.3185914647,32.3027064436,D1-B5-T13,8,,,"D1-B5-H43,D1-B5-H44,D1-B5-H45,D1-B5-H46,D1-B5-H47,D1-B5-H48,D1-B5-H49,D1-B5-H50,D1-B5-H51,D1-B5-H52"
36.3183193206,32.3021923945,D1-B5-T14,4,,,"D1-B5-H44,D1-B5-H45,D1-B5-H46,D1-B5-H49,D1-B5-H126,D1-B5-H127,D1-B5-H129,D1-B5-H132,D1-B5-H133,D1-B5-H134"
36.3186572369,32.3023810001,D1-B5-T15,4,,,"D1-B5-H29,D1-B5-H40,D1-B5-H41,D1-B5-H42,D1-B5-H132,D1-B5-H135,D1-B5-H137,D1-B5-H140,D1-B5-H141"
36.3192136521,32.3025777074,D1-B5-T16,4,,,"D1-B5-H32,D1-B5-H33,D1-B5-H34,D1-B5-H35,D1-B5-H36,D1-B5-H37,D1-B5-H38,D1-B5-H39"
36.3191044179,32.3023077615,D1-B5-T17,4,,,"D1-B5-H30,D1-B5-H31,D1-B5-H33,D1-B5-H34,D1-B5-H39,D1-B5-H144,D1-B5-H145,D1-B5-H147"
36.3196241771,32.3023774636,D1-B5-T18,4,,,"D1-B4-H80,D1-B4-H81,D1-B4-H82,D1-B4-H83,D1-B5-H24,D1-B5-H25,D1-B5-H26,D1-B5-H27,D1-B5-H28"
36.3201307163,32.3023161805,D1-B5-T19,4,,,"D1-B4-H81,D1-B4-H82,D1-B5-H17,D1-B5-H18,D1-B5-H19,D1-B5-H20,D1-B5-H21,D1-B5-H23,D1-B5-H159,D1-B5-H166"
36.3198021901,32.3020080769,D1-B5-T20,4,,,"D1-B5-H155,D1-B5-H156,D1-B5-H157,D1-B5-H160,D1-B5-H162,D1-B5-H163,D1-B5-H164,D1-B5-H165,D1-B5-H166"
36.3206817415,32.3022117645,D1-B5-T21,4,,,"D1-B5-H9,D1-B5-H10,D1-B5-H11,D1-B5-H13,D1-B5-H14,D1-B5-H16"
36.3208319309,32.3021548119,D1-B5-T22,4,,,"D1-B5-H5,D1-B5-H6,D1-B5-H7,D1-B5-H176,D1-B5-H182,D1-B5-H183"
36.3206939767,32.3017654,D1-B5-T23,4,,,"D1-B5-H168,D1-B5-H169,D1-B5-H172,D1-B5-H173,D1-B5-H174,D1-B5-H177,D1-B6-H9,D1-B6-H10,D1-B6-H11,D1-B6-H14"
