LONGITUDE,LATITUDE,ELEVATION
36.3149003819,32.2880931798,650.88
36.314912151,32.2880745105,650.852
36.3149377057,32.2880702191,650.874
36.3150251523,32.2880047628,650.899
36.3150201112,32.2879874766,650.851
36.3423471084,32.2865748326,664.561
36.3422729706,32.2863644961,663.713
36.3422409473,32.2862323355,663.404
36.3421713827,32.2860081529,663.186
36.3421289308,32.2858629394,663.781
36.3421279678,32.2858597832,663.499
36.3421172714,32.2858389062,663.622
36.3421161297,32.285837591,663.682
36.3421060216,32.2857456286,663.569
36.3420674807,32.285536946,663.609
36.3420146864,32.2853634495,664.089
36.341987048,32.2851938382,663.787
36.3419557894,32.2850233487,662.481
36.3419473406,32.2848465583,661.08
36.341912822,32.2846300578,660.166
36.3419032791,32.2845867545,659.61
36.3418441057,32.2844319983,659.082
36.3417982449,32.2842814774,658.763
36.3417966605,32.2842727634,658.428
36.3417882791,32.2842561756,658.452
36.3417871114,32.2842536253,658.624
36.3417569932,32.2841642685,658.543
36.3416824802,32.2839227275,658.358
36.3416831012,32.2839171946,658.007
36.3416793256,32.2839098347,657.955
36.3416792402,32.2838970315,658.385
36.341669973,32.283848586,657.943
36.3416539074,32.2837734215,657.878
36.3416131371,32.2836794447,657.734
36.3415447259,32.2835082797,657.317
36.3415234339,32.2833945428,657.25
36.3414572931,32.2831908964,657.23
36.3414055286,32.283004424,657.354
36.341396277,32.2829716767,657.097
36.3413859743,32.2828665693,657.075
36.3413192432,32.2827185173,657.474
36.341323054,32.2827048765,656.64
36.3413255454,32.2827122659,656.815
36.3413199852,32.2826928936,656.978
36.3413203253,32.2826937832,657.326
36.3413074928,32.2826616092,656.952
36.3412739989,32.2825594065,656.891
36.3412203699,32.2823561613,657.097
36.3411481138,32.2821455365,657.316
36.3410825093,32.2819438778,658.273
36.3410134336,32.2817609422,658.773
36.3409849849,32.2816657182,658.691
36.3408921733,32.2814606794,658.12
36.3408016265,32.2812984864,657.369
36.3407809512,32.2812400625,657.111
36.3406864601,32.281068843,656.615
36.3406103885,32.2809385748,656.179
36.3405214915,32.2808158247,656.052
36.3403693072,32.280687359,655.77
36.3402697507,32.2806223768,655.597
36.340113848,32.2805515622,655.392
36.339980173,32.280530889,655.284
36.3397842877,32.2805355623,655.158
36.3395250392,32.2805829948,655.213
36.3327009614,32.2827742448,654.825
36.3324767413,32.2829362345,654.497
36.3324401419,32.2828773924,654.564
36.3323373849,32.2829198329,654.447
36.3323324324,32.2829168114,653.682
36.3323155718,32.2829277642,653.652
36.3323098639,32.2829306194,654.328
36.3321983659,32.2829847517,654.33
36.3322166388,32.283159156,654.71
36.3319600043,32.2829811269,654.054
36.3318176051,32.2831504372,654.049
36.3317630943,32.283071638,653.824
36.3316741095,32.2830946499,653.9
36.3314596294,32.2831559492,653.811
36.3312955963,32.2832207025,653.741
36.3311919588,32.2833543019,653.879
36.331125063,32.2832671911,653.721
36.3309662281,32.2833162262,653.781
36.3307221486,32.2833929007,653.821
36.3305314699,32.2835686273,653.829
36.3304777578,32.283469334,653.786
36.3302671435,32.2835231579,653.7
36.3302632229,32.2835246085,652.979
36.3302468587,32.2835362419,652.872
36.3302412223,32.2835371578,653.67
36.3301510892,32.2835626675,653.635
36.3300470291,32.2836106271,653.67
36.3299077481,32.2837697454,653.941
36.3298553807,32.2836856063,653.807
36.3296757762,32.2837369528,653.938
36.3294429459,32.2838332807,654.565
36.3293588031,32.2838496023,654.634
36.3292338737,32.2839898189,654.687
36.3291852549,32.2839272326,654.923
36.3291803934,32.2839281415,654.83
36.3290251263,32.2839636621,655.146
36.3287799399,32.2840412354,655.639
36.3285972771,32.2841950488,655.775
36.3285457856,32.2841293319,655.936
36.3284763048,32.284150094,655.884
36.3282641929,32.2842015024,656.15
36.3280723203,32.2842817559,656.304
36.3208088464,32.2889631715,650.112
36.3206568766,32.2889281946,650.039
36.3206731216,32.2890106641,650.109
36.3207306022,32.2890637165,650.113
36.3206999236,32.2889877316,650.089
36.3158566075,32.2911309118,649.727
36.31590636,32.2911328093,649.736
36.3159209105,32.291131509,649.764
36.3179540308,32.2954858851,650.371
