LONGITUDE,LATITUDE,NAME,NAME_SHRT,DISTRICT,COUNT,VOLUME
36.325048,32.300027,,,3,1,
36.323003,32.301006,,,3,1,
36.323391,32.301648,,,3,1,
36.325341,32.300947,,,3,1,
36.325481,32.300635,,,3,1,
36.323745,32.302795,,,3,1,
36.325949,32.302058,,,3,1,
36.323768,32.297477,,,4,1,
36.321686,32.298153,,,4,1,
36.321834,32.297842,,,4,1,
36.322931,32.297440,,,4,1,
36.323891,32.297183,,,4,1,
36.323419,32.296640,,,4,1,
36.322557,32.296609,,,4,1,
36.322430,32.296955,,,4,1,
36.321448,32.296972,,,4,1,
36.320892,32.296368,,,4,1,
36.323502,32.296299,,,4,1,
36.322986,32.295691,,,4,1,
36.321037,32.296047,,,4,1,
36.322141,32.295691,,,4,1,
36.323125,32.295353,,,4,1,
36.335655,32.297684,,,6,1,
36.335304,32.296837,,,6,1,
36.333273,32.295706,,,6,1,
36.332458,32.293797,,,6,1,
36.331512,32.291931,,,6,1,
36.337763,32.296005,,,6,1,
36.336906,32.294128,,,6,1,
36.336186,32.292561,,,6,1,
36.334631,32.290907,,,6,1,
36.339124,32.287824,,,8,1,
36.339822,32.287587,,,8,1,
36.340203,32.287458,,,8,1,
36.340351,32.287402,,,8,1,
36.341144,32.287138,,,8,1,
36.339396,32.286608,,,8,1,
36.340253,32.286362,,,8,1,
36.341094,32.286120,,,8,1,
36.338149,32.285758,,,8,1,
36.338883,32.285513,,,8,1,
36.340564,32.284948,,,8,1,
36.340205,32.285059,,,8,1,
36.339787,32.285198,,,8,1,
36.336426,32.282573,,,8,1,
36.338700,32.281899,,,8,1,
36.339308,32.281677,,,8,1,
36.336934,32.283659,,,8,1,
36.339196,32.282904,,,8,1,
36.340280,32.282574,,,8,1,
36.337441,32.284732,,,8,1,
36.338487,32.284389,,,8,1,
36.340364,32.283750,,,8,1,
36.339983,32.283871,,,8,1,
36.334217,32.283305,,,8,1,
36.334745,32.284387,,,8,1,
36.336219,32.285144,,,8,1,
36.336690,32.286245,,,8,1,
36.336235,32.287651,,,8,1,
36.336692,32.288637,,,8,1,
36.331012,32.284376,,,9,2,
36.330911,32.290547,,,9,2,
36.334777,32.289283,,,9,2,
36.330203,32.288987,,,9,2,
36.330073,32.288648,,,9,2,
36.333368,32.287954,,,9,2,
36.333234,32.287614,,,9,2,
36.330017,32.286865,,,9,2,
36.332510,32.286063,,,9,2,
36.329917,32.286533,,,9,2,
36.332313,32.285752,,,9,2,
36.328544,32.285195,,,9,2,
36.325533,32.292293,,,10,2,
36.328071,32.291514,,,10,2,
36.327293,32.289899,,,10,2,
36.324823,32.290730,,,10,2,
36.327158,32.289573,,,10,2,
36.324675,32.290402,,,10,2,
36.323973,32.288843,,,10,2,
36.326461,32.288027,,,10,2,
36.326294,32.287653,,,10,2,
36.323816,32.288502,,,10,2,
36.325590,32.286156,,,10,2,
36.323099,32.286940,,,10,2,
36.316280,32.294631,,,12,1,
