X,Y,NAME,COUNT,DISTRICT
36.3369059689807,32.2941278596763,,1,6
36.3361857675211,32.2925608681219,,1,6
36.3346310866224,32.2909066649068,,1,6
36.3391244971172,32.287823594739,,1,8
36.3398222429273,32.2875873932326,,1,8
36.3402028198193,32.2874577348261,,1,8
36.340350759221,32.2874023029829,,1,8
36.3411436983393,32.2871381873646,,1,8
36.3393960083062,32.2866083823536,,1,8
36.3402528588763,32.2863617318171,,1,8
36.3410938383935,32.2861197267992,,1,8
36.3381486307467,32.2857584713372,,1,8
36.3388834038492,32.285512925857,,1,8
36.3405643386904,32.2849477856882,,1,8
36.3402047779484,32.2850592223026,,1,8
36.3397871707885,32.2851982304013,,1,8
36.336426390515,32.2825729171008,,1,8
36.3387004159668,32.281898790936,,1,8
36.3393080623649,32.2816769270735,,1,8
36.3369335283613,32.2836594167992,,1,8
36.3391959519834,32.2829042333892,,1,8
36.340279973545,32.2825743897474,,1,8
36.3374405105867,32.2847323901566,,1,8
36.3384872395954,32.2843893707934,,1,8
36.3403636319981,32.2837503431512,,1,8
36.3399829583284,32.2838709858718,,1,8
36.3342167466345,32.2833050367388,,1,8
36.3347450363987,32.284386847753,,1,8
36.3362194260782,32.2851442858367,,1,8
36.3366895918066,32.2862446425848,,1,8
36.3362346296762,32.2876508487131,,1,8
36.3366916076613,32.2886367169602,,1,8
36.3187505590665,32.2968209620229,,2,2
36.3174578362706,32.2969112123408,,2,2
36.3153186764362,32.2970627634849,,2,2
36.3152252155057,32.2973335100283,,2,2
36.314035921134,32.2974694480699,,2,2
36.3166622125013,32.2969615759623,,2,2
36.3144575177591,32.2980612453217,,2,2
36.3168283595625,32.2977337352872,,2,2
36.3180220220205,32.2977783190476,,2,2
36.3190790539131,32.2977201592084,,2,2
36.3149186979506,32.2985859098368,,2,2
36.3174614903201,32.2983619852915,,2,2
36.3184316645665,32.2982950486381,,2,2
36.3161339614079,32.2985278073791,,2,2
36.3161670692062,32.299362851976,,2,2
36.316891035334,32.2990430081396,,2,2
36.3189680282287,32.2988222888379,,2,2
36.3198525773633,32.2990336712882,,2,2
36.3185325323192,32.2993415285685,,2,2
36.3176023685976,32.2992082536126,,2,2
36.3154228564718,32.3001202587026,,2,2
36.3158012743587,32.2981491848615,,2,2
36.3207694864269,32.3029288817122,,2,1
36.3198328936422,32.303199234883,,2,1
36.3216269709918,32.3026974039952,,2,1
36.3207796182062,32.3023319955892,,2,1
36.3197035719176,32.3026437747635,,2,1
36.3186951659389,32.3029073618811,,2,1
36.3195592252296,32.3024196180095,,2,1
36.3178930299139,32.3027056089521,,2,1
36.3202214514008,32.3015071826438,,2,1
36.3189101134583,32.3016436529355,,2,1
36.3180097626347,32.301699556084,,2,1
36.3208439938753,32.3009757380416,,2,1
36.3193105690674,32.3009103776816,,2,1
36.3182614570046,32.3010358287525,,2,1
36.3171012047315,32.3010347326209,,2,1
36.3195907835814,32.3003268848963,,2,1
36.318957357487,32.3005038899744,,2,1
36.3174767775703,32.3008006890608,,2,1
36.3198211404241,32.2998624107317,,2,1
36.3188774205486,32.3000558278794,,2,1
36.317718145454,32.3002837282216,,2,1
36.3166724232363,32.3004924049831,,2,1
