LONGITUDE,LATITUDE,ID
36.319442,32.265939,649
36.320018,32.265951,650
36.320594,32.265963,651
36.321170,32.265976,652
36.321746,32.265988,653
36.322322,32.266000,654
36.322899,32.266012,655
36.323475,32.266025,656
36.324051,32.266037,657
36.324627,32.266049,658
36.325203,32.266061,659
36.325779,32.266073,660
36.326355,32.266086,661
36.326931,32.266098,662
36.327507,32.266110,663
36.328083,32.266122,664
36.328660,32.266134,665
36.329236,32.266147,666
36.329812,32.266159,667
36.330388,32.266171,668
36.330964,32.266183,669
36.331540,32.266195,670
36.332116,32.266208,671
36.332692,32.266220,672
36.333268,32.266232,673
36.333844,32.266244,674
36.334420,32.266256,675
36.334997,32.266268,676
36.335573,32.266281,677
36.336149,32.266293,678
36.336725,32.266305,679
36.337301,32.266317,680
36.337877,32.266329,681
36.338453,32.266341,682
36.339029,32.266353,683
36.339605,32.266366,684
36.340181,32.266378,685
36.340758,32.266390,686
36.341334,32.266402,687
36.341910,32.266414,688
36.342486,32.266426,689
36.343062,32.266438,690
36.343638,32.266451,691
36.344214,32.266463,692
36.344790,32.266475,693
36.345366,32.266487,694
36.345943,32.266499,695
36.346519,32.266511,696
36.347095,32.266523,697
36.347671,32.266535,698
36.348247,32.266547,699
36.291201,32.265765,700
36.291777,32.265777,701
36.292353,32.265790,702
36.292930,32.265802,703
36.293506,32.265814,704
36.294082,32.265827,705
36.294658,32.265839,706
36.295234,32.265851,707
36.295810,32.265864,708
36.296386,32.265876,709
36.296962,32.265888,710
36.297538,32.265901,711
36.298114,32.265913,712
36.298690,32.265925,713
36.299266,32.265938,714
36.299842,32.265950,715
36.300419,32.265962,716
36.300995,32.265975,717
36.301571,32.265987,718
36.302147,32.265999,719
36.302723,32.266012,720
36.303299,32.266024,721
36.303875,32.266036,722
36.304451,32.266048,723
36.305027,32.266061,724
36.305603,32.266073,725
36.306179,32.266085,726
36.306755,32.266098,727
36.307332,32.266110,728
36.307908,32.266122,729
36.308484,32.266135,730
36.309060,32.266147,731
36.309636,32.266159,732
36.310212,32.266171,733
36.310788,32.266184,734
36.311364,32.266196,735
36.311940,32.266208,736
36.312516,32.266220,737
36.313092,32.266233,738
36.313669,32.266245,739
36.314245,32.266257,740
36.314821,32.266270,741
36.315397,32.266282,742
36.315973,32.266294,743
36.316549,32.266306,744
36.317125,32.266319,745
36.317701,32.266331,746
36.318277,32.266343,747
36.318853,32.266355,748
36.319429,32.266367,749
36.320006,32.266380,750
36.320582,32.266392,751
36.321158,32.266404,752
36.321734,32.266416,753
36.322310,32.266429,754
36.322886,32.266441,755
36.323462,32.266453,756
36.324038,32.266465,757
36.324614,32.266477,758
36.325190,32.266490,759
36.325766,32.266502,760
36.326343,32.266514,761
36.326919,32.266526,762
36.327495,32.266539,763
36.328071,32.266551,764
36.328647,32.266563,765
36.329223,32.266575,766
36.329799,32.266587,767
36.330375,32.266599,768
36.330951,32.266612,769
36.331527,32.266624,770
36.332104,32.266636,771
36.332680,32.266648,772
36.333256,32.266660,773
36.333832,32.266673,774
36.334408,32.266685,775
36.334984,32.266697,776
36.335560,32.266709,777
36.336136,32.266721,778
36.336712,32.266733,779
36.337288,32.266745,780
36.337865,32.266758,781
36.338441,32.266770,782
36.339017,32.266782,783
36.339593,32.266794,784
36.340169,32.266806,785
36.340745,32.266818,786
36.341321,32.266830,787
36.341897,32.266843,788
36.342473,32.266855,789
36.343050,32.266867,790
36.343626,32.266879,791
36.344202,32.266891,792
36.344778,32.266903,793
36.345354,32.266915,794
36.345930,32.266927,795
36.346506,32.266940,796
36.347082,32.266952,797
36.347658,32.266964,798
36.348234,32.266976,799
36.291189,32.266193,800
36.291765,32.266206,801
36.292341,32.266218,802
36.292917,32.266230,803
36.293493,32.266243,804
36.294069,32.266255,805
36.294645,32.266267,806
36.295221,32.266280,807
36.295797,32.266292,808
36.296373,32.266304,809
36.296949,32.266317,810
36.297525,32.266329,811
36.298102,32.266341,812
36.298678,32.266354,813
36.299254,32.266366,814
36.299830,32.266378,815
36.300406,32.266391,816
36.300982,32.266403,817
36.301558,32.266415,818
36.302134,32.266428,819
36.302710,32.266440,820
36.303286,32.266452,821
36.303862,32.266465,822
36.304438,32.266477,823
36.305015,32.266489,824
36.305591,32.266502,825
36.306167,32.266514,826
36.306743,32.266526,827
36.307319,32.266538,828
36.307895,32.266551,829
36.308471,32.266563,830
36.309047,32.266575,831
36.309623,32.266588,832
36.310199,32.266600,833
36.310775,32.266612,834
36.311352,32.266624,835
36.311928,32.266637,836
36.312504,32.266649,837
36.313080,32.266661,838
36.313656,32.266673,839
36.314232,32.266686,840
36.314808,32.266698,841
36.315384,32.266710,842
36.315960,32.266722,843
36.316536,32.266735,844
36.317112,32.266747,845
36.317689,32.266759,846
36.318265,32.266771,847
36.318841,32.266784,848
36.319417,32.266796,849
36.319993,32.266808,850
36.320569,32.266820,851
36.321145,32.266833,852
36.321721,32.266845,853
36.322297,32.266857,854
36.322873,32.266869,855
36.323449,32.266882,856
36.324026,32.266894,857
36.324602,32.266906,858
36.325178,32.266918,859
36.325754,32.266930,860
36.326330,32.266943,861
36.326906,32.266955,862
36.327482,32.266967,863
36.328058,32.266979,864
36.328634,32.266991,865
36.329210,32.267004,866
36.329787,32.267016,867
36.330363,32.267028,868
36.330939,32.267040,869
36.331515,32.267052,870
36.332091,32.267064,871
36.332667,32.267077,872
36.333243,32.267089,873
