LONGITUDE,LATITUDE,VOLUME,STATUS,NAME,DISTRICT,BLOCK,NUMBER,HOUSES
36.3177881449,32.2892806887,4,Connected,D11-B13-T07,11,13,7,"D11-B13-H66,D11-B13-H67,D11-B13-H68,D11-B13-H69,D11-B13-H70,D11-B13-H72,D11-B13-H77"
36.3169142141,32.2890712904,4,Connected,D11-B13-T05,11,13,5,"D11-B13-H75,D11-B13-H76,D11-B13-H81,D11-B13-H82,D11-B13-H83,D11-B13-H84,D11-B13-H85,D11-B13-H86,D11-B13-H87,D11-B13-H93"
36.3175873032,32.2887778032,4,Connected,D11-B13-T08,11,13,8,"D11-B13-H62,D11-B13-H63,D11-B13-H73,D11-B13-H74"
36.3178231225,32.2889064231,4,Connected,D11-B13-T09,11,13,9,"D11-B13-H54,D11-B13-H61,D11-B13-H65"
36.318514206,32.289060085,4,Connected,D11-B13-T12,11,13,12,"D11-B13-H39,D11-B13-H40,D11-B13-H41,D11-B13-H48,D11-B13-H49,D11-B13-H50"
36.3181295276,32.2890896226,4,Connected,D11-B13-T10,11,13,10,"D11-B13-H54,D11-B13-H56,D11-B13-H57,D11-B13-H58,D11-B13-H59,D11-B13-H60"
36.3181878353,32.2887591152,4,Connected,D11-B13-T11,11,13,11,"D11-B13-H42,D11-B13-H43,D11-B13-H44,D11-B13-H46,D11-B13-H51,D11-B13-H52"
36.3188264325,32.2890128278,8,Connected,D11-B13-T13,11,13,13,"D11-B13-H29,D11-B13-H30,D11-B13-H31,D11-B13-H33,D11-B13-H37,D11-B13-H38,D11-B13-H39,D11-B13-H40,D11-B13-H42"
36.3187269616,32.2884826023,4,Connected,D11-B13-T14,11,13,14,"D11-B13-H26,D11-B13-H27,D11-B13-H28,D11-B13-H29,D11-B13-H34,D11-B13-H35,D11-B13-H36"
36.3192816247,32.2887211846,4,Connected,D11-B13-T15,11,13,15,"D11-B13-H13,D11-B13-H18,D11-B13-H19,D11-B13-H21,D11-B13-H22,D11-B13-H24"
36.319476196,32.2881530812,4,Connected,D11-B13-T16,11,13,16,"D11-B13-H15,D11-B13-H16,D11-B13-H17,D11-B13-H25"
36.3191887915,32.2883271127,4,Connected,D11-B13-T17,11,13,17,"D11-B13-H2,D11-B13-H3,D11-B13-H4,D11-B13-H5,D11-B13-H6"
36.3197475057,32.2886586352,4,Connected,D11-B13-T18,11,13,18,"D11-B13-H1,D11-B13-H7,D11-B13-H8,D11-B13-H9,D11-B13-H10,D11-B13-H11"
36.3170830018,32.2887939486,4,Connected,D11-B15-T01,11,15,1,"D11-B15-H62,D11-B15-H63,D11-B15-H64"
36.3173265327,32.2886801696,8,Connected,D11-B15-T02,11,15,2,"D11-B15-H53,D11-B15-H54,D11-B15-H55,D11-B15-H56,D11-B15-H57,D11-B15-H58,D11-B15-H60,D11-B15-H61"
36.3178108227,32.2881309291,4,Connected,D11-B15-T03,11,15,3,"D11-B15-H42,D11-B15-H43,D11-B15-H44,D11-B15-H45,D11-B15-H50,D11-B15-H52,D11-B15-H59"
36.318162036,32.2883490319,4,Connected,D11-B15-T04,11,15,4,"D11-B5-H47,D11-B15-H35,D11-B15-H38,D11-B15-H40,D11-B15-H41,D11-B15-H46,D11-B15-H48,D11-B15-H49"
36.3183171535,32.2879429569,8,Connected,D11-B15-T05,11,15,5,"D11-B15-H28,D11-B15-H29,D11-B15-H30,D11-B15-H31,D11-B15-H36"
36.3187175831,32.2881665796,4,Connected,D11-B15-T06,11,15,6,"D11-B15-H12,D11-B15-H19,D11-B15-H21,D11-B15-H25,D11-B15-H26,D11-B15-H27,D11-B15-H33"
36.3187919161,32.2877552916,4,Connected,D11-B15-T07,11,15,7,"D11-B15-H7,D11-B15-H8,D11-B15-H10,D11-B15-H14,D11-B15-H16,D11-B15-H18,D11-B15-H21,D11-B15-H22"
36.319333758,32.2879782118,4,Connected,D11-B15-T08,11,15,8,"D11-B15-H1,D11-B15-H2,D11-B15-H3,D11-B15-H5,D11-B15-H6,D11-B15-H11"
36.322281571,32.2936112635,8,Connected,D11-B02-T01,11,2,1,"D11-B2-H1,D11-B2-H2,D11-B2-H3,D11-B2-H4,D11-B2-H5,D11-B2-H7,D11-B2-H8,D11-B2-H10,D11-B2-H11,D11-B2-H12"
36.3227489316,32.2935259928,4,Connected,D11-B02-T02,11,2,2,"D11-B2-H13,D11-B2-H14,D11-B2-H15,D11-B2-H16,D11-B2-H17,D11-B2-H20,D11-B2-H21"
36.3229987648,32.2938127867,4,Connected,D11-B02-T03,11,2,3,"D11-B2-H9,D11-B2-H18,D11-B2-H19,D11-B2-H25"
36.3233527964,32.2935541933,4,Connected,D11-B02-T04,11,2,4,"D11-B2-H26,D11-B2-H27-1,D11-B2-H27,D11-B2-H28,D11-B2-H29,D11-B2-H36"
36.3238384151,32.2934400641,4,Connected,D11-B02-T06,11,2,6,"D11-B2-H34,D11-B2-H35,D11-B2-H37,D11-B2-H38-1,D11-B2-H38,D11-B2-H46-1"
36.3232555204,32.2932595754,8,Connected,D11-B02-T05,11,2,5,"D11-B2-H22,D11-B2-H23,D11-B2-H24,D11-B2-H27,D11-B2-H30,D11-B2-H31,D11-B2-H32"
36.3242027121,32.2932714185,4,Connected,D11-B02-T07,11,2,7,"D11-B2-H46,D11-B2-H47,D11-B2-H48,D11-B2-H49,D11-B2-H50-1,D11-B2-H50,D11-B2-H51,D11-B2-H52"
36.3246367775,32.2931024815,4,Connected,D11-B02-T08,11,2,8,"D11-B2-H53,D11-B2-H54,D11-B2-H58-1,D11-B2-H58,D11-B2-H59,D11-B2-H60,D11-B2-H63,D11-B2-H64,D11-B2-H65"
36.3245417747,32.2928902683,4,Connected,D11-B02-T09,11,2,9,"D11-B2-H55,D11-B2-H56,D11-B2-H57,D11-B2-H61,D11-B2-H62,D11-B2-H66,D11-B2-H67"
36.3219830542,32.292977958,8,Connected,D11-B04-T01,11,4,1,"D11-B4-H1,D11-B4-H3,D11-B4-H4,D11-B4-H5,D11-B4-H6,D11-B4-H7,D11-B4-H8,D11-B4-H9,D11-B4-H10,D11-B4-H11"
36.3221862717,32.2933711676,4,Connected,D11-B04-T02,11,4,2,"D11-B4-H1,D11-B4-H5,D11-B4-H6,D11-B4-H12,D11-B4-H13,D11-B4-H14"
36.322735225,32.2928033,8,Connected,D11-B04-T04,11,4,4,"D11-B4-H20,D11-B4-H21,D11-B4-H27,D11-B4-H28,D11-B4-H30,D11-B4-H31,D11-B4-H32"
36.3225115918,32.2929439291,4,Connected,D11-B04-T03,11,4,3,"D11-B4-H15,D11-B4-H16,D11-B4-H17,D11-B4-H18,D11-B4-H19,D11-B4-H20,D11-B4-H22,D11-B4-H23,D11-B4-H24,D11-B4-H25"
36.3229714406,32.2930651474,4,Connected,D11-B04-T05,11,4,5,
36.3231063091,32.2927382702,4,Connected,D11-B04-T06,11,4,6,"D11-B4-H35,D11-B4-H36,D11-B4-H37,D11-B4-H42,D11-B4-H43,D11-B4-H44"
36.3234195096,32.2927797508,4,Connected,D11-B04-T07,11,4,7,"D11-B4-H40,D11-B4-H41,D11-B4-H45,D11-B4-H46,D11-B4-H53"
36.3235585047,32.2929550238,4,Connected,D11-B04-T08,11,4,8,"D11-B2-H33,D11-B2-H39,D11-B2-H40,D11-B2-H41,D11-B2-H42,D11-B2-H43,D11-B2-H44,D11-B2-H45"
36.323610692,32.2925641668,4,Connected,D11-B04-T09,11,4,9,"D11-B4-H46,D11-B4-H47,D11-B4-H48,D11-B4-H49,D11-B4-H50,D11-B4-H51,D11-B4-H52,D11-B4-H53"
36.3241325046,32.2926070589,4,Connected,D11-B04-T10,11,4,10,"D11-B4-H54,D11-B4-H55,D11-B4-H63,D11-B4-H64,D11-B4-H65,D11-B4-H66"
36.3244870727,32.2925915144,4,Connected,D11-B04-T13,11,4,13,"D11-B4-H57-2,D11-B4-H61-1,D11-B4-H73,D11-B4-H74,D11-B4-H75,D11-B4-H76,D11-B4-H77,D11-B4-H81"
36.3242446244,32.2921039656,8,Connected,D11-B04-T12,11,4,12,"D11-B4-H66,D11-B4-H67,D11-B4-H70,D11-B4-H71,D11-B4-H72,D11-B4-H78,D11-B4-H79,D11-B4-H80"
36.3239484952,32.2921832124,8,Connected,D11-B04-T11,11,4,11,"D11-B4-H56,D11-B4-H57,D11-B4-H58,D11-B4-H59,D11-B4-H60,D11-B4-H61,D11-B4-H62,D11-B4-H68,D11-B4-H69"
36.3216534789,32.2922677674,4,Connected,D11-B06-T01,11,6,1,"D11-B6-H2,D11-B6-H3,D11-B6-H4,D11-B6-H9,D11-B6-H10,D11-B6-H11,D11-B6-H12"
36.3222118967,32.2922194553,4,Connected,D11-B06-T03,11,6,3,"D11-B6-H16,D11-B6-H17,D11-B6-H19,D11-B6-H20,D11-B6-H24,D11-B6-H25,D11-B6-H31"
36.3215674603,32.2918006906,4,Connected,D11-B06-T02,11,6,2,"D11-B6-H5,D11-B6-H6,D11-B6-H7,D11-B6-H8,D11-B6-H13,D11-B6-H14,D11-B6-H15"
36.3222044986,32.2918378616,8,Connected,D11-B06-T04,11,6,4,"D11-B6-H11,D11-B6-H21,D11-B6-H23,D11-B6-H26,D11-B6-H27,D11-B6-H28,D11-B6-H29,D11-B6-H30"
