Partner,Type,ID,Compare
Oxfam,Steel Parameters Missing,1265,
Oxfam,House Parameters Missing,1293,
Oxfam,House Parameters Missing,1309,
Oxfam,Steel Parameters Missing,1309,
Oxfam,House Parameters Missing,1310,
Oxfam,Steel Parameters Missing,1310,
Oxfam,House Parameters Missing,1320,
Oxfam,House Parameters Missing,1321,
Oxfam,House Parameters Missing,1326,
Oxfam,House Parameters Missing,1332,
Oxfam,House Parameters Missing,1344,
Oxfam,Steel Parameters Missing,1344,
Oxfam,House Parameters Missing,1351,
Oxfam,Steel Parameters Missing,1351,
Oxfam,House Parameters Missing,1368,
Oxfam,Steel Parameters Missing,1368,
Oxfam,House Parameters Missing,1417,
Oxfam,Steel Parameters Missing,1417,
Oxfam,House Parameters Missing,1425,
Oxfam,Steel Parameters Missing,1425,
Oxfam,House Parameters Missing,1442,
Oxfam,House Parameters Missing,1447,
Oxfam,Steel Parameters Missing,1447,
Oxfam,House Parameters Missing,1462,
Oxfam,Steel Parameters Missing,1462,
Oxfam,House Parameters Missing,1477,
Oxfam,Steel Parameters Missing,1477,
Oxfam,House Parameters Missing,1478,
Oxfam,Steel Parameters Missing,1478,
Oxfam,House Parameters Missing,1487,
Oxfam,Steel Parameters Missing,1487,
Oxfam,House Parameters Missing,1501,
Oxfam,House Parameters Missing,1519,
Oxfam,Steel Parameters Missing,1519,
Oxfam,House Parameters Missing,1529,
Oxfam,House Parameters Missing,1591,
Oxfam,Steel Parameters Missing,1591,
Oxfam,House Parameters Missing,1611,
Oxfam,Steel Parameters Missing,1611,
Oxfam,House Parameters Missing,1612,
Oxfam,Steel Parameters Missing,1612,
Oxfam,House Parameters Missing,1617,
Oxfam,Steel Parameters Missing,1617,
Oxfam,House Parameters Missing,1621,
Oxfam,House Parameters Missing,1649,
Oxfam,House Parameters Missing,1672,
Oxfam,House Parameters Missing,1705,
Oxfam,Steel Parameters Missing,1705,
Oxfam,House Parameters Missing,1706,
Oxfam,Steel Parameters Missing,1706,
Oxfam,House Parameters Missing,1707,
Oxfam,Steel Parameters Missing,1707,
Oxfam,House Parameters Missing,1724,
Oxfam,Steel Parameters Missing,1724,
Oxfam,House Parameters Missing,1725,
Oxfam,Steel Parameters Missing,1725,
Oxfam,House Parameters Missing,1729,
Oxfam,Steel Parameters Missing,1729,
Oxfam,House Parameters Missing,1734,
Oxfam,Steel Parameters Missing,1734,
Oxfam,House Parameters Missing,1741,
Oxfam,Steel Parameters Missing,1741,
Oxfam,House Parameters Missing,1742,
Oxfam,Steel Parameters Missing,1742,
Oxfam,House Parameters Missing,1744,
Oxfam,Steel Parameters Missing,1744,
Oxfam,House Parameters Missing,1759,
Oxfam,Steel Parameters Missing,1759,
Oxfam,House Parameters Missing,1787,
Oxfam,Steel Parameters Missing,1787,
Oxfam,House Parameters Missing,1788,
Oxfam,Steel Parameters Missing,1788,
Oxfam,House Parameters Missing,1801,
Oxfam,Steel Parameters Missing,1801,
Oxfam,House Parameters Missing,1802,
Oxfam,Steel Parameters Missing,1802,
Oxfam,House Parameters Missing,1819,
Oxfam,Steel Parameters Missing,1819,
Oxfam,House Parameters Missing,1820,
Oxfam,Steel Parameters Missing,1820,
Oxfam,House Parameters Missing,1827,
Oxfam,Steel Parameters Missing,1827,
Oxfam,House Parameters Missing,1831,
Oxfam,Steel Parameters Missing,1831,
Oxfam,House Parameters Missing,1874,
Oxfam,House Parameters Missing,1875,
Oxfam,House Parameters Missing,1894,
Oxfam,Steel Parameters Missing,1894,
Oxfam,House Parameters Missing,1907,
Oxfam,House Parameters Missing,1976,
Oxfam,Steel Parameters Missing,1976,
Oxfam,House Parameters Missing,1984,
Oxfam,Steel Parameters Missing,1984,
Oxfam,House Parameters Missing,1992,
Oxfam,Steel Parameters Missing,1992,
Oxfam,House Parameters Missing,2010,
Oxfam,Steel Parameters Missing,2010,
Oxfam,House Parameters Missing,2054,
Oxfam,Steel Parameters Missing,2054,
Oxfam,House Parameters Missing,2074,
Oxfam,Steel Parameters Missing,2074,
Oxfam,House Parameters Missing,2106,
Oxfam,Steel Parameters Missing,2106,
Oxfam,House Parameters Missing,2118,
Oxfam,Steel Parameters Missing,2118,
Oxfam,House Parameters Missing,2132,
Oxfam,Steel Parameters Missing,2132,
Oxfam,House Parameters Missing,2133,
Oxfam,Steel Parameters Missing,2133,
Oxfam,House Parameters Missing,2196,
Oxfam,House Parameters Missing,2204,
Oxfam,House Parameters Missing,2205,
Oxfam,House Parameters Missing,2206,
Oxfam,House Parameters Missing,2207,
Oxfam,House Parameters Missing,2227,
Oxfam,House Parameters Missing,2239,
Oxfam,House Parameters Missing,2247,
Oxfam,House Parameters Missing,2265,
Oxfam,House Parameters Missing,2291,
Oxfam,Steel Parameters Missing,2291,
Oxfam,Septic Backup Values Not Equal,4002,
Oxfam,Septic Backup Values Not Equal,4997,
Oxfam,House Backup Values Not Equal,4997,
Oxfam,Septic Backup Values Not Equal,4998,
Oxfam,House Backup Values Not Equal,4998,
Oxfam,Septic Backup Values Not Equal,4999,
Oxfam,House Backup Values Not Equal,4999,
Oxfam,Septic Backup Values Not Equal,5000,
Oxfam,House Backup Values Not Equal,5000,
Oxfam,Septic Backup Values Not Equal,5001,
Oxfam,House Backup Values Not Equal,5001,
Oxfam,Septic Backup Values Not Equal,5002,
Oxfam,House Backup Values Not Equal,5002,
Oxfam,Septic Backup Values Not Equal,5003,
Oxfam,House Backup Values Not Equal,5003,
Oxfam,Septic Backup Values Not Equal,5004,
Oxfam,House Backup Values Not Equal,5004,
Oxfam,Septic Backup Values Not Equal,5005,
Oxfam,House Backup Values Not Equal,5005,
Oxfam,Septic Backup Values Not Equal,5006,
Oxfam,House Backup Values Not Equal,5006,
Oxfam,Septic Backup Values Not Equal,5007,
Oxfam,House Backup Values Not Equal,5007,
Oxfam,Septic Backup Values Not Equal,5008,
Oxfam,House Backup Values Not Equal,5008,
Oxfam,Septic Backup Values Not Equal,5009,
Oxfam,House Backup Values Not Equal,5009,
Oxfam,Septic Backup Values Not Equal,5010,
Oxfam,House Backup Values Not Equal,5010,
Oxfam,Septic Backup Values Not Equal,5011,
Oxfam,House Backup Values Not Equal,5011,
Oxfam,Septic Backup Values Not Equal,5012,
Oxfam,House Backup Values Not Equal,5012,
Oxfam,Septic Backup Values Not Equal,5013,
Oxfam,House Backup Values Not Equal,5013,
Oxfam,Septic Backup Values Not Equal,5014,
Oxfam,House Backup Values Not Equal,5014,
Oxfam,Septic Backup Values Not Equal,5015,
Oxfam,House Backup Values Not Equal,5015,
Oxfam,Septic Backup Values Not Equal,5016,
Oxfam,House Backup Values Not Equal,5016,
Oxfam,Septic Backup Values Not Equal,5017,
Oxfam,House Backup Values Not Equal,5017,
Oxfam,Septic Backup Values Not Equal,5018,
Oxfam,House Backup Values Not Equal,5018,
Oxfam,Septic Backup Values Not Equal,5019,
Oxfam,House Backup Values Not Equal,5019,
Oxfam,Septic Backup Values Not Equal,5020,
Oxfam,House Backup Values Not Equal,5020,
Oxfam,Septic Backup Values Not Equal,5021,
Oxfam,House Backup Values Not Equal,5021,
Oxfam,Septic Backup Values Not Equal,5022,
Oxfam,House Backup Values Not Equal,5022,
Oxfam,Septic Backup Values Not Equal,5023,
Oxfam,House Backup Values Not Equal,5023,
Oxfam,Septic Backup Values Not Equal,5024,
