longitude,latitude,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
36.325455,32.300976,D03-B03-T27,D3-B3-T27,3,3,27,4,120,,OST-03-11,OST-3-11,OST,3,11,,1,D03-B03-H001
36.325737,32.300606,D03-B04-T01,D3-B4-T1,3,4,1,4,120,,NST-03-16,NST-3-16,NST,3,16,25,6,"D03-B04-H007,D03-B04-H008,D03-B04-H009,D03-B04-H010,D03-B04-H011,D03-B04-H012"
36.325865,32.300957,D03-B04-T02,D3-B4-T2,3,4,2,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B04-H002,D03-B04-H004,D03-B04-H005"
36.326190,32.300765,D03-B04-T03,D3-B4-T3,3,4,3,8,120,,NST-03-16,NST-3-16,NST,3,16,25,7,"D03-B04-H006,D03-B04-H013,D03-B04-H014,D03-B04-H015,D03-B04-H019,D03-B04-H020,D03-B04-H021"
36.326281,32.301175,D03-B04-T04,D3-B4-T4,3,4,4,4,120,,NST-03-16,NST-3-16,NST,3,16,25,4,"D03-B04-H001,D03-B04-H003,D03-B04-H016,D03-B04-H017"
36.326401,32.300467,D03-B04-T05,D3-B4-T5,3,4,5,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B04-H022,D03-B04-H023,D03-B04-H033"
36.326589,32.300686,D03-B04-T06,D3-B4-T6,3,4,6,4,120,,NST-03-16,NST-3-16,NST,3,16,25,6,"D03-B04-H024,D03-B04-H025,D03-B04-H026,D03-B04-H030,D03-B04-H031,D03-B04-H032"
36.326748,32.301001,D03-B04-T07,D3-B4-T7,3,4,7,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B04-H027,D03-B04-H028"
36.326889,32.300761,D03-B04-T08,D3-B4-T8,3,4,8,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B04-H029,D03-B04-H040"
36.326940,32.300472,D03-B04-T09,D3-B4-T9,3,4,9,4,120,,NST-03-16,NST-3-16,NST,3,16,25,4,"D03-B04-H035,D03-B04-H036,D03-B04-H037,D03-B04-H038"
36.327056,32.300973,D03-B04-T10,D3-B4-T10,3,4,10,4,120,,NST-03-16,NST-3-16,NST,3,16,25,3,"D03-B02-H027,D03-B04-H041,D03-B04-H043"
36.327142,32.300332,D03-B04-T11,D3-B4-T11,3,4,11,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B04-H047,D03-B04-H048"
36.327189,32.300598,D03-B04-T12,D3-B4-T12,3,4,12,4,120,,NST-03-16,NST-3-16,NST,3,16,25,2,"D03-B04-H045,D03-B04-H046"
36.321589,32.301649,D03-B05-T01,D3-B5-T1,3,5,1,4,120,,,,,,,,3,"D03-B09-H067,D03-B09-H068,D03-B09-H071"
36.321636,32.301424,D03-B05-T02,D3-B5-T2,3,5,2,8,120,,,,,,,,4,"D03-B09-H064,D03-B09-H065,D03-B09-H069,D03-B09-H070"
36.322053,32.301483,D03-B05-T03,D3-B5-T3,3,5,3,4,120,,,,,,,,2,"D03-B09-H063,D03-B09-H067"
36.322136,32.301314,D03-B05-T04,D3-B5-T4,3,5,4,8,120,,,,,,,,5,"D03-B09-H057,D03-B09-H058,D03-B09-H059,D03-B09-H062,D03-B09-H063"
36.322267,32.301242,D03-B05-T05,D3-B5-T5,3,5,5,4,120,,,,,,,,2,"D03-B05-H053,D03-B05-H056"
36.322643,32.301205,D03-B05-T06,D3-B5-T6,3,5,6,4,120,,,,,,,,5,"D03-B09-H050,D03-B09-H051,D03-B09-H052,D03-B09-H054,D03-B09-H055"
