LONGITUDE,LATITUDE,NAME,CONNECTED,DISTRICT,NUMBER,TYPE,CAPACITY,COUNT,NGO,INSTALLBY
36.3153186764,32.2970627635,,no,2,0,OST,25,2,ACTED,ACTED
36.3152252155,32.29733351,,no,2,0,OST,25,2,ACTED,ACTED
36.3140359211,32.2974694481,,no,2,0,OST,25,2,ACTED,ACTED
36.3166622125,32.296961576,,no,2,0,OST,25,2,ACTED,ACTED
36.3144575178,32.2980612453,,no,2,0,OST,25,2,ACTED,ACTED
36.3168283596,32.2977337353,,no,2,0,OST,25,2,ACTED,ACTED
36.318022022,32.297778319,,no,2,0,OST,25,2,ACTED,ACTED
36.3190790539,32.2977201592,,no,2,0,OST,25,2,ACTED,ACTED
36.314918698,32.2985859098,,no,2,0,OST,25,2,ACTED,ACTED
36.3174614903,32.2983619853,,no,2,0,OST,25,2,ACTED,ACTED
36.3184316646,32.2982950486,,no,2,0,OST,25,2,ACTED,ACTED
36.3161339614,32.2985278074,,no,2,0,OST,25,2,ACTED,ACTED
36.3161670692,32.299362852,,no,2,0,OST,25,2,ACTED,ACTED
36.3168910353,32.2990430081,,no,2,0,OST,25,2,ACTED,ACTED
36.3189680282,32.2988222888,,no,2,0,OST,25,2,ACTED,ACTED
36.3198525774,32.2990336713,,no,2,0,OST,25,2,ACTED,ACTED
36.3185325323,32.2993415286,,no,2,0,OST,25,2,ACTED,ACTED
36.3176023686,32.2992082536,,no,2,0,OST,25,2,ACTED,ACTED
36.3154228565,32.3001202587,,no,2,0,OST,25,2,ACTED,ACTED
36.3158012744,32.2981491849,,no,2,0,OST,25,2,ACTED,ACTED
36.3207694864,32.3029288817,,no,1,0,OST,25,2,ACTED,ACTED
36.3198328936,32.3031992349,,no,1,0,OST,25,2,ACTED,ACTED
36.321626971,32.302697404,,no,1,0,OST,25,2,ACTED,ACTED
36.3207796182,32.3023319956,,no,1,0,OST,25,2,ACTED,ACTED
36.3197035719,32.3026437748,,no,1,0,OST,25,2,ACTED,ACTED
36.3186951659,32.3029073619,,no,1,0,OST,25,2,ACTED,ACTED
36.3195592252,32.302419618,,no,1,0,OST,25,2,ACTED,ACTED
36.3178930299,32.302705609,,no,1,0,OST,25,2,ACTED,ACTED
36.3202214514,32.3015071826,,no,1,0,OST,25,2,ACTED,ACTED
36.3189101135,32.3016436529,,no,1,0,OST,25,2,ACTED,ACTED
36.3180097626,32.3016995561,,no,1,0,OST,25,2,ACTED,ACTED
36.3208439939,32.300975738,,no,1,0,OST,25,2,ACTED,ACTED
36.3193105691,32.3009103777,,no,1,0,OST,25,2,ACTED,ACTED
36.318261457,32.3010358288,,no,1,0,OST,25,2,ACTED,ACTED
36.3171012047,32.3010347326,,no,1,0,OST,25,2,ACTED,ACTED
36.3195907836,32.3003268849,,no,1,0,OST,25,2,ACTED,ACTED
36.3189573575,32.30050389,,no,1,0,OST,25,2,ACTED,ACTED
36.3174767776,32.3008006891,,no,1,0,OST,25,2,ACTED,ACTED
36.3198211404,32.2998624107,,no,1,0,OST,25,2,ACTED,ACTED
36.3188774205,32.3000558279,,no,1,0,OST,25,2,ACTED,ACTED
36.3177181455,32.3002837282,,no,1,0,OST,25,2,ACTED,ACTED
36.3166724232,32.300492405,,no,1,0,OST,25,2,ACTED,ACTED
