house_id,house_id_short,house_district,house_block,house_number,house_sub_unit,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity
D01-B03-H049,D1-B3-H49,1,3,49,,D01-B03-T15,D1-B3-T15,1,3,15,4,160,,,,,,,
D01-B03-H050,D1-B3-H50,1,3,50,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H051,D1-B3-H51,1,3,51,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H052,D1-B3-H52,1,3,52,,D01-B03-T17,D1-B3-T17,1,3,17,4,160,,,,,,,
D01-B03-H053,D1-B3-H53,1,3,53,,D01-B03-T18,D1-B3-T18,1,3,18,4,160,,,,,,,
D01-B03-H054,D1-B3-H54,1,3,54,,D01-B03-T18,D1-B3-T18,1,3,18,4,160,,,,,,,
D01-B03-H055,D1-B3-H55,1,3,55,,D01-B03-T18,D1-B3-T18,1,3,18,4,160,,,,,,,
D01-B03-H056,D1-B3-H56,1,3,56,,D01-B03-T18,D1-B3-T18,1,3,18,4,160,,,,,,,
D01-B03-H057,D1-B3-H57,1,3,57,,D01-B03-T16,D1-B3-T16,1,3,16,4,160,,,,,,,
D01-B03-H058,D1-B3-H58,1,3,58,,D01-B03-T16,D1-B3-T16,1,3,16,4,160,,,,,,,
D01-B03-H059,D1-B3-H59,1,3,59,,D01-B03-T16,D1-B3-T16,1,3,16,4,160,,,,,,,
D01-B03-H060,D1-B3-H60,1,3,60,,D01-B03-T15,D1-B3-T15,1,3,15,4,160,,,,,,,
D01-B03-H061,D1-B3-H61,1,3,61,,D01-B03-T14,D1-B3-T14,1,3,14,4,160,,,,,,,
D01-B03-H062,D1-B3-H62,1,3,62,,D01-B03-T14,D1-B3-T14,1,3,14,4,160,,,,,,,
D01-B03-H063,D1-B3-H63,1,3,63,,D01-B03-T14,D1-B3-T14,1,3,14,4,160,,,,,,,
D01-B03-H064,D1-B3-H64,1,3,64,,D01-B03-T12,D1-B3-T12,1,3,12,4,160,,,,,,,
D01-B03-H065,D1-B3-H65,1,3,65,,D01-B03-T12,D1-B3-T12,1,3,12,4,160,,,,,,,
D01-B03-H066,D1-B3-H66,1,3,66,,D01-B03-T12,D1-B3-T12,1,3,12,4,160,,,,,,,
D01-B03-H066,D1-B3-H66,1,3,66,,D01-B03-T18,D1-B3-T18,1,3,18,4,160,,,,,,,
D01-B03-H067,D1-B3-H67,1,3,67,,,,,,,8,160,,,,,,,
D01-B03-H068,D1-B3-H68,1,3,68,,,,,,,8,160,,,,,,,
D01-B03-H069,D1-B3-H69,1,3,69,,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H069,D1-B3-H69,1,3,69,,,,,,,8,160,,,,,,,
D01-B03-H070,D1-B3-H70,1,3,70,,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H071,D1-B3-H71,1,3,71,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H071-1,D1-B3-H71-1,1,3,71,-1,D01-B03-T09,D1-B3-T9,1,3,9,4,160,,,,,,,
D01-B03-H072,D1-B3-H72,1,3,72,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H072,D1-B3-H72,1,3,72,,D01-B03-T07,D1-B3-T7,1,3,7,4,160,,,,,,,
D01-B03-H073,D1-B3-H73,1,3,73,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H074,D1-B3-H74,1,3,74,,D01-B03-T06,D1-B3-T6,1,3,6,4,160,,,,,,,
D01-B03-H076,D1-B3-H76,1,3,76,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H077,D1-B3-H77,1,3,77,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H078,D1-B3-H78,1,3,78,,D01-B03-T03,D1-B3-T3,1,3,3,4,160,,,,,,,
D01-B03-H079,D1-B3-H79,1,3,79,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
D01-B03-H080,D1-B3-H80,1,3,80,,D01-B03-T02,D1-B3-T2,1,3,2,4,160,,,,,,,
