X,Y,ORIGINAL,NGO,DISTRICT,BLOCK,OLDBIN,NEWBINLTR,NEWBINTTB,IDLTR,IDTTB,GPSLAT,GPSLON,GPSALT,GPSACC,HASID,CONDITION,XCOORD,YCOORD
36.3165019099892,32.3014173199858,474,ACTED,1,9,0,1,8,D1-B9-B1,D1-B9-B8,32.30141732000,36.31650191000,683,4,no,,247085,3576183
36.3180327499892,32.3004558399859,475,ACTED,1,10,0,5,2,D1-B10-B5,D1-B10-B2,32.30045584000,36.31803275000,687,4,no,,247258,3576134
36.3186763499893,32.3004217299859,476,ACTED,1,9,0,8,12,D1-B9-B8,D1-B9-B12,32.30042173000,36.31867635000,693,4,no,,247316,3576151
36.3195974299893,32.3002612299859,477,ACTED,1,9,0,12,10,D1-B9-B12,D1-B9-B10,32.30026123000,36.31959743000,690,4,no,,247404,3576165
36.3204065599893,32.3001189099859,478,ACTED,1,10,0,7,1,D1-B10-B7,D1-B10-B1,32.30011891000,36.32040656000,688,4,no,,247480,3576177
36.3186666299893,32.3000358599859,479,ACTED,1,10,0,6,3,D1-B10-B6,D1-B10-B3,32.30003586000,36.31866663000,696,4,no,,247330,3576111
36.3174419899892,32.3002338999859,480,ACTED,1,10,0,4,4,D1-B10-B4,D1-B10-B4,32.30023390000,36.31744199000,705,4,no,,247214,3576091
36.3167866299892,32.3004216499858,481,ACTED,1,10,0,3,5,D1-B10-B3,D1-B10-B5,32.30042165000,36.31678663000,698,4,no,,247149,3576089
36.3166259399892,32.3004308199858,482,ACTED,1,10,0,2,6,D1-B10-B2,D1-B10-B6,32.30043082000,36.31662594000,694,4,no,,247135,3576085
36.3157370399892,32.3006727299858,483,ACTED,1,10,0,1,7,D1-B10-B1,D1-B10-B7,32.30067273000,36.31573704000,690,4,no,,247047,3576080
36.3151410299892,32.3011980599858,484,ACTED,1,0,0,1,13,D1-B0-B1,D1-B0-B13,32.30119806000,36.31514103000,684,4,no,,246974,3576115
36.3154565899892,32.3015723399858,485,ACTED,1,0,0,2,12,D1-B0-B2,D1-B0-B12,32.30157234000,36.31545659000,693,4,no,,246987,3576164
36.3157568799892,32.3021682599858,486,ACTED,1,0,0,3,11,D1-B0-B3,D1-B0-B11,32.30216826000,36.31575688000,684,4,no,,246990,3576236
36.3161305099892,32.3026279999858,487,ACTED,1,0,0,4,10,D1-B0-B4,D1-B0-B10,32.30262800000,36.31613051000,690,4,no,,247005,3576296
36.3162748099892,32.3029597899858,488,ACTED,1,0,0,5,9,D1-B0-B5,D1-B0-B9,32.30295979000,36.31627481000,683,4,no,,247005,3576336
36.3165082299892,32.3032535599858,489,ACTED,1,0,0,6,8,D1-B0-B6,D1-B0-B8,32.30325356000,36.31650823000,699,4,no,,247014,3576374
